item_id,source,environment,disposition,reason
@src/chapter/ch27_channel_asymptotics_wedderburn_ii.tex:687,src/chapter/ch27_channel_asymptotics_wedderburn_ii.tex,remark,qic,quantum-information remark
@src/chapter/ch28_mpu.tex:3085,src/chapter/ch28_mpu.tex,remark,tn,tensor-network remark
@src/chapter/ch28_mpu.tex:3131,src/chapter/ch28_mpu.tex,remark,tn,tensor-network remark
FundamentalMPU,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
IndexTh,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
PropChiral,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
SF,src/chapter/ch28_mpu.tex,definition,tn,matrix-product-unitary statement
ThmFund1,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
conjphs,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
cor:all-equivalent-under-conjugation,src/chapter/ch28_mpu.tex,corollary,tn,matrix-product-unitary statement
cor:cpsv_corollary211_printed_status,src/chapter/ch11_fundamental_theorem_cases.tex,corollary,tn,matrix-product-state canonical-form statement
cor:cpsv_corollary_a6_printed_status,src/chapter/ch11_fundamental_theorem_cases.tex,corollary,tn,matrix-product-state canonical-form statement
cor:cpsv_iii_cor3_status,src/chapter/ch26_mps_rfp_direct_sums_residual_isometries.tex,corollary,tn,matrix-product-state renormalization statement
cor:equiv-under-conjugation,src/chapter/ch28_mpu.tex,corollary,tn,matrix-product-unitary statement
cor:exists_constant_injectivePEPS_of_translationInvariantState,src/chapter/ch24_peps_ft_normal_capstone_site_dependent_and_vertex_injective.tex,corollary,tn,projected-entangled-pair-state statement
cor:mpu_admissible_all_conjugation_equivalent,src/chapter/ch28_mpu.tex,corollary,tn,matrix-product-unitary statement
cor:mpu_admissible_continuous_standard_form,src/chapter/ch28_mpu.tex,corollary,tn,matrix-product-unitary statement
cor:mpu_admissible_equiv_under_conjugation,src/chapter/ch28_mpu.tex,corollary,tn,matrix-product-unitary statement
cor:mpu_admissible_sigma_equivalence_necessary,src/chapter/ch28_mpu.tex,corollary,tn,matrix-product-unitary statement
cor:mpu_admissible_symplectic_to_orthogonal,src/chapter/ch28_mpu.tex,corollary,tn,matrix-product-unitary statement
cor:sigma-equivalence-necessary,src/chapter/ch28_mpu.tex,corollary,tn,matrix-product-unitary statement
cor:sympl-to-orthogonal,src/chapter/ch28_mpu.tex,corollary,tn,matrix-product-unitary statement
corconj,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
coruvSF,src/chapter/ch28_mpu.tex,corollary,tn,matrix-product-unitary statement
def:equivalent-symmetry,src/chapter/ch28_mpu.tex,definition,tn,matrix-product-unitary statement
def:index,src/chapter/ch28_mpu.tex,definition,tn,matrix-product-unitary statement
def:mpdo_virtual_perBlockLinearExtension,src/chapter/ch21_mpdo_rfp_bnt_theorem_data.tex,definition,tn,matrix-product-density-operator statement
def:mpu_admissible_equivalence_datum,src/chapter/ch28_mpu.tex,definition,tn,matrix-product-unitary statement
def:mpu_admissible_index,src/chapter/ch28_mpu.tex,definition,tn,matrix-product-unitary statement
def:mpu_admissible_standard_form,src/chapter/ch28_mpu.tex,definition,tn,matrix-product-unitary statement
def:mpu_admissible_strict_symmetry_equivalence,src/chapter/ch28_mpu.tex,definition,tn,matrix-product-unitary statement
def:mpu_admissible_symmetry_equivalence,src/chapter/ch28_mpu.tex,definition,tn,matrix-product-unitary statement
def:mpu_reduced_full_support_source_datum,src/chapter/ch28_mpu.tex,definition,tn,matrix-product-unitary statement
def:positive_map_rectangular,src/chapter/ch04_channels_positive_map_and_channel_foundations.tex,definition,qic,rectangular positive linear maps
def:source_periodic_string_overlap,src/chapter/ch12_symmetry_string_order.tex,definition,tn,matrix-product-state symmetry statement
def:strictly-equivalent-symmetry,src/chapter/ch28_mpu.tex,definition,tn,matrix-product-unitary statement
def:trace_preserving_rectangular,src/chapter/ch04_channels_positive_map_and_channel_foundations.tex,definition,qic,rectangular trace-preserving maps
eq:mpdo_eta_bond_assembly,src/chapter/ch21_mpdo_rfp_commuting_form_cyclic_active_markov.tex,remark,tn,matrix-product-density-operator statement
eq:sigma-from-trace,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
ex:all-phases-under-conjugation,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
ex:dagger-all-but-czx,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
ex:mpu_admissible_all_conjugation_phases,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
ex:mpu_admissible_czx,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
ex:mpu_admissible_time_reversal_classes,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
example:czx,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
index-well-defined,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
lem:cpsv_power_sum_printed_status,src/chapter/ch10_bnt_permutation_and_power_sums.tex,lemma,tn,matrix-product-state canonical-form statement
lem:equivalent-symmetry,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:matrix_rectangular_charpoly_cyclicity,src/chapter/ch21_mpdo_rfp_gsnnch_definitions.tex,lemma,qic,rectangular matrix characteristic polynomials
lem:mpu_admissible_index_composition,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:mpu_admissible_index_tensor,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:mpu_admissible_sigma_gauge_invariant,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:mpu_admissible_sigma_trace,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:mpu_admissible_source_u_isometry,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:mpu_admissible_swap_symmetry_equivalence,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:mpu_admissible_symmetry_path_criterion,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:mpu_index_composition,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:mpu_index_tensor,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:mpu_sigma_gauge_invariant,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lem:peps_injectiveRegion_union,src/chapter/ch24_peps_ft_normal_union.tex,lemma,tn,projected-entangled-pair-state statement
lem:pgwsvc08_twisted_spectral_radius,src/chapter/ch12_symmetry_string_order.tex,lemma,tn,matrix-product-state symmetry statement
lemma:conjclass-normalform-continuous,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lemma:sym-trafo-swap,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
lemuisometry,src/chapter/ch28_mpu.tex,lemma,tn,matrix-product-unitary statement
prop1conj,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:U1-U2-equiv-ancillatrick,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:U2-U3-trivial-conjugation,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:U2-U3-trivial-tr-transpose,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:conjsym-strict-equiv,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
prop:continuity-index,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
prop:dagger-mps-class-and-mpu-class-equal,src/chapter/ch28_mpu.tex,proposition,tn,matrix-product-unitary statement
